Time, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, Temp, Pres, Yaw, Pitch, Roll
2021-10-23 12:37:07.251010,-13.25,7.0,12.75,-158,-1384,16877,-1,-2,1,27.47,1009.31,176.79946210537102,11.739529803872944,1.5196312481540564
2021-10-23 12:37:07.591628,-12.875,5.875,9.875,-152,-1406,16909,5,0,1,27.42,1009.31,174.01553539727684,20.994225735391073,2.5343054042460724
2021-10-23 12:37:07.932981,-12.75,8197.875,9.0,-154,-1422,16879,-16,0,1,27.43,1009.31,161.57394275093583,17.21600448988769,1.7795116561061617
2021-10-23 12:37:08.273726,-13.375,6.25,12.375,-156,-1373,16905,5,0,1,27.43,1009.29,158.50791586577296,23.928096707801842,1.5187368223610314
2021-10-23 12:37:08.620657,-11.75,8198.875,12.375,-124,-1403,16902,6,-1,1,27.44,1009.31,147.00038018091539,19.306684846212992,0.7902340478781756
2021-10-23 12:37:08.955064,-12.875,16388.375,10.0,-104,-1358,16913,-2,-1,0,27.44,1009.29,136.68178889988255,15.390124843558233,0.009852746612427141
2021-10-23 12:37:09.295383,-16.5,7.25,10.25,-115,-1371,16885,-5,0,1,27.45,1009.29,129.8300692527767,21.898146189489278,-2.7127270744990843
2021-10-23 12:37:09.630506,-13.125,6.5,10.5,-167,-1380,16927,1,0,-1,27.45,1009.3,124.79789006655305,25.73491482413998,-4.166083501485709
2021-10-23 12:37:09.964545,-12.0,16389.75,9.875,-93,-1406,16919,11,-1,2,27.44,1009.27,117.75955372481079,19.949782801031837,-4.052698856029673
2021-10-23 12:37:10.299148,-12.625,8198.375,15.0,-174,-1420,16934,6,-2,2,27.44,1009.26,111.93023346208133,15.442362875670709,-4.0709254820379694
2021-10-23 12:37:10.636631,-12.5,10.25,10.5,-133,-1372,16909,3,0,1,27.45,1009.29,105.48704755616394,18.470942006056887,-5.444094872430788
2021-10-23 12:37:10.968656,-13.25,8198.875,12.75,-112,-1379,16908,-4,-1,0,27.45,1009.28,102.02654061895774,14.293371717744213,-5.178591979084235
2021-10-23 12:37:11.303667,-13.5,10.0,11.625,-142,-1440,16939,4,0,1,27.45,1009.27,96.09521079427255,16.78304745853302,-6.812063300213815
2021-10-23 12:37:11.643783,-14.75,4.875,10.375,-145,-1434,16902,0,-1,-1,27.45,1009.28,89.89544332898203,19.271338979979117,-9.802682072680035
2021-10-23 12:37:11.982633,-12.25,9.75,10.625,-164,-1317,16959,-13,-1,2,27.44,1009.28,85.6486313132712,18.996744153739023,-9.924523150497429
2021-10-23 12:37:12.318332,-13.625,8198.875,13.75,-164,-1470,16892,-1,1,0,27.45,1009.27,86.26443175196016,15.113762422025705,-8.803224646032398
2021-10-23 12:37:12.653735,-13.5,8197.75,9.5,-151,-1361,16925,1,-1,2,27.44,1009.3,86.81857233661647,12.02605186676111,-7.866860336475529
2021-10-23 12:37:12.988813,-13.375,8200.5,9.5,-146,-1385,16924,0,-2,1,27.44,1009.28,87.29103077669286,9.580198454151429,-7.1670223717307655
2021-10-23 12:37:13.323791,-12.75,8.25,12.0,-144,-1430,16891,3,0,2,27.43,1009.26,82.1785004401148,11.85283397301261,-8.775164944107553
2021-10-23 12:37:13.663803,-12.5,9.75,8.375,-173,-1411,16907,0,0,1,27.43,1009.27,76.65198838002141,12.513038725948487,-9.490867691717117
2021-10-23 12:37:13.996002,-17.0,7.125,12.25,-155,-1410,16904,1,0,3,27.44,1009.26,71.34832632367929,13.64029348735962,-11.194532772818672
2021-10-23 12:37:14.336764,-13.875,9.5,10.875,-152,-1424,16910,7,0,0,27.44,1009.25,67.81499806217508,13.120862260882578,-11.218745919251882
2021-10-23 12:37:14.677954,-9.75,9.125,11.125,-172,-1386,16956,14,-1,1,27.43,1009.27,66.55337731984886,11.530746659965239,-10.32886423078699
2021-10-23 12:37:15.016783,-11.0,7.25,12.25,-156,-1365,16918,22,0,2,27.44,1009.28,64.54211060304934,10.917571792977045,-10.189694246506088
2021-10-23 12:37:15.357560,-12.125,7.0,14.125,-179,-1410,16893,2,-2,2,27.45,1009.28,62.638403405387265,10.440432686914054,-10.245924911754539
2021-10-23 12:37:15.698200,-13.875,8198.75,12.625,-174,-1467,16902,-2,0,-1,27.45,1009.26,68.08265643453744,9.189948723273979,-9.365813254745742
2021-10-23 12:37:16.030501,-12.75,5.875,14.125,-99,-1443,16923,1,0,0,27.44,1009.28,65.1496712357502,9.853844309321923,-10.367271240250657
2021-10-23 12:37:16.365890,-10.75,3.75,17.125,-213,-1415,16913,0,2,1,27.46,1009.28,63.83540671399656,9.707482730166033,-10.525587107020003
2021-10-23 12:37:16.696920,-12.625,8.75,14.625,-114,-1400,16899,6,0,2,27.46,1009.28,62.09833674938674,9.154050401939248,-10.242648224611997
2021-10-23 12:37:17.030177,-11.25,6.25,17.25,-189,-1325,16927,-11,0,-1,27.47,1009.27,61.05243284844167,8.583162205488284,-9.899687379673393
2021-10-23 12:37:17.369237,-13.0,16387.25,20.25,-158,-1501,16887,1,0,2,27.46,1009.25,66.86087256215508,7.7630551136027,-9.126283720362997
2021-10-23 12:37:17.702206,-12.5,4.5,17.75,-124,-1412,16928,0,0,1,27.45,1009.26,64.7080060749622,8.591020299695712,-10.13810714815785
2021-10-23 12:37:18.036842,-14.0,4.75,18.0,-149,-1338,16916,1,2,2,27.46,1009.23,62.43661053653931,9.185086846673137,-10.915126105683338
2021-10-23 12:37:18.371190,-13.375,6.125,18.625,271,-1533,16882,33,2,11,27.45,1009.26,60.93612085075823,8.66490832199976,-10.886689439013038
2021-10-23 12:37:18.711562,-13.375,5.25,16.625,-255,-1279,16908,0,1,3,27.46,1009.25,58.97647260994471,8.869228331300576,-11.10089193909645
2021-10-23 12:37:19.053837,-14.25,24578.875,17.0,-116,-1424,16928,11,0,2,27.47,1009.26,65.13607436042594,8.127710568032294,-10.050474079580539
2021-10-23 12:37:19.392379,-13.5,7.625,15.875,-164,-1287,16913,4,1,2,27.48,1009.3,62.81710892988913,8.485973991020696,-10.282676705030305
2021-10-23 12:37:19.727727,-12.75,8197.0,15.5,-139,-1439,16881,-4,2,0,27.47,1009.26,68.27025374387264,7.645471414442937,-9.357587701448544
2021-10-23 12:37:20.060755,-10.25,8.0,11.125,-130,-1365,16926,2,-1,2,27.48,1009.24,65.68426135940685,7.949132901091865,-9.501800841504922
2021-10-23 12:37:20.393907,-12.125,16386.375,12.5,-146,-1397,16902,3,-1,0,27.47,1009.27,70.6170162535842,7.085741105742803,-8.646047280702334
2021-10-23 12:37:20.728420,-11.375,8.0,10.0,-131,-1413,16949,10,0,0,27.49,1009.26,66.74495907344128,8.013743436934359,-9.381529836557288
2021-10-23 12:37:21.062290,-15.75,8.125,11.5,-154,-1462,16891,-33,-1,2,27.49,1009.27,62.2598008141963,8.854601380470488,-10.514896356032438
2021-10-23 12:37:21.395235,-16.5,8200.875,8202.125,-157,-1388,16917,2,0,1,27.49,1009.27,67.39486804728841,3.730263423647594,-8.764179707694058
2021-10-23 12:37:21.736181,-15.375,16388.75,10.875,-140,-1415,16900,1,0,-1,27.5,1009.27,72.07975039117377,3.6985239885007464,-8.020132349599029
2021-10-23 12:37:22.074441,-13.0,6.875,8.375,-192,-1430,16906,2,-1,0,27.5,1009.24,66.04355997825193,5.7968367041289355,-9.555079025290272
2021-10-23 12:37:22.418687,-14.75,6.75,10.875,-124,-1466,16914,-7,1,0,27.49,1009.22,61.2209494901396,7.184423424427176,-10.851942376203962
2021-10-23 12:37:22.759048,-14.5,6.5,11.5,-166,-1405,16891,1,-1,1,27.48,1009.27,57.445489896822764,7.874437803908989,-11.52386726842418
2021-10-23 12:37:23.092417,-13.75,7.875,10.125,-165,-1346,16928,-6,-1,1,27.48,1009.26,54.57199970499988,7.715206649619859,-11.31014061924725
2021-10-23 12:37:23.428417,-14.625,5.625,14.375,-168,-1403,16937,-1,-1,0,27.49,1009.25,52.23023780530149,7.77241589771394,-11.553340216308575
2021-10-23 12:37:23.768432,-12.875,5.625,11.25,-136,-1409,16904,2,0,0,27.5,1009.24,49.994087670534356,7.512029342259122,-11.47451508450783
2021-10-23 12:37:24.109141,-8202.625,10.625,14.125,-156,-1394,16897,1,1,3,27.5,1009.25,40.95263168671612,6.5638087077826635,-11.220153492232088
2021-10-23 12:37:24.443940,-11.125,7.75,11.5,-147,-1437,16890,12,0,3,27.5,1009.23,41.64674486549627,4.986346795212335,-9.530206851123863
2021-10-23 12:37:24.787640,-15.0,7.625,8.875,-117,-1428,16893,-1,0,0,27.49,1009.24,40.07113668235921,4.499403575181879,-9.180741223752618
2021-10-23 12:37:25.128202,-13.25,5.125,11.5,-150,-1410,16932,-3,0,1,27.49,1009.24,38.65604264647951,4.2961565162885185,-9.182191323835966
2021-10-23 12:37:25.459162,-15.75,8.0,11.75,-175,-1292,16939,11,0,5,27.49,1009.21,37.874090887577566,3.8131767136329295,-8.554274391728002
2021-10-23 12:37:25.799073,-13.375,8196.625,8202.5,-108,-1411,16949,13,1,0,27.49,1009.22,44.762836122950475,-1.970238614084518,-5.653334893165166
2021-10-23 12:37:26.132218,-14.25,4.75,14.25,-152,-1360,16928,-1,0,2,27.5,1009.26,42.05909950228366,-0.13899645309887032,-7.396232517578114
2021-10-23 12:37:26.471696,-13.375,6.25,11.875,-148,-1391,16907,-3,1,1,27.5,1009.24,40.33162424700796,0.7261544231777906,-7.824777703992272
2021-10-23 12:37:26.807363,-12.0,9.125,12.375,-134,-1334,16965,21,-1,0,27.48,1009.26,40.6056793757511,0.5443589172307189,-6.933392396851798
2021-10-23 12:37:27.147509,-10.75,6.25,10.5,-162,-1446,16903,-4,1,1,27.48,1009.23,39.83633564082118,0.9025636923673123,-6.956532533736696
2021-10-23 12:37:27.482764,-11.25,6.5,13.25,-146,-1389,16915,-5,1,-1,27.48,1009.23,39.39665566320556,1.0644217555713005,-6.793343479511076
2021-10-23 12:37:27.816582,-9.25,8201.5,8203.0,-132,-1374,16948,27,0,2,27.49,1009.24,45.53997304372722,-3.875289542657098,-4.242734121174503
2021-10-23 12:37:28.157976,-16.75,7.75,14.125,-135,-1362,16927,-21,0,0,27.49,1009.22,42.74701717240313,-1.855060875122517,-5.877894559987407
2021-10-23 12:37:28.492185,-15.0,6.75,11.75,-154,-1339,16933,-2,1,2,27.49,1009.21,40.372527890108174,-0.48979964124247843,-6.819759812154433
2021-10-23 12:37:28.839121,-17.375,8.375,13.25,-120,-1433,16913,4,0,2,27.49,1009.23,38.65835873012478,0.2979906551482337,-7.244069959014917
2021-10-23 12:37:29.179837,-14.625,16389.25,13.875,-168,-1301,16924,6,2,0,27.49,1009.22,48.50382953899437,1.5603053652484176,-7.087297683252237
2021-10-23 12:37:29.517836,-11.0,6.5,16.0,-121,-1435,16881,0,1,3,27.5,1009.27,47.560484340292014,2.051298652132198,-7.385148873621882
2021-10-23 12:37:29.853367,-12.5,7.75,11.5,-150,-1413,16918,3,0,1,27.5,1009.21,46.06391210248631,2.4379152838944864,-7.610853543534174
2021-10-23 12:37:30.188203,-14.25,7.25,16.0,-157,-1384,16936,4,2,1,27.5,1009.2,44.717695869788315,2.8424477008123183,-7.935391913034332
2021-10-23 12:37:30.523518,-12.0,6.75,12.0,-17,-1329,16925,3,0,3,27.51,1009.25,43.60730388317938,2.8331973494323397,-7.880870435237471
