Time, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, Temp, Pres, Yaw, Pitch, Roll
2021-10-23 12:23:57.868911,-16.5,10.5,11.125,-146,-1034,16948,11,-1,4,27.69,1009.13,175.12349328459132,10.103904009286667,1.696675046705456
2021-10-23 12:23:58.202229,-16.625,7.125,15.875,-198,-1003,16945,19,-1,-2,27.44,1009.13,172.86542942175,19.53729043377383,2.6154721306577122
2021-10-23 12:23:58.542908,-18.75,11.875,14.125,-74,-997,16887,-44,-1,-3,27.45,1009.22,169.75770369039344,26.187064211929417,4.469651358250427
2021-10-23 12:23:58.878538,-15.375,8.5,14.5,-127,-874,16959,32,1,3,27.44,1009.24,168.2387241741057,29.23269113340402,5.688564725924913
2021-10-23 12:23:59.223992,-15.0,10.25,9.25,-175,-1074,16912,7,1,1,27.45,1009.22,165.00769253960522,33.202722912639345,7.022681731581273
2021-10-23 12:23:59.555935,-16.0,9.25,13.25,-206,-1065,16868,-5,0,0,27.45,1009.19,163.20156514517657,33.94061124851889,7.307954903210685
2021-10-23 12:23:59.896779,-13.25,11.875,9.125,-78,-884,16947,-17,-1,0,27.45,1009.2,159.89910836141777,35.47003329944148,8.897237883646875
2021-10-23 12:24:00.237998,-17.125,8.125,13.875,-144,-886,16906,15,0,2,27.44,1009.22,157.9182684140595,34.79132564160877,7.734680264165903
2021-10-23 12:24:00.576781,-17.625,8201.5,13.5,-176,-1018,16930,3,0,3,27.44,1009.23,146.6429852814988,29.10391734126619,6.643434673934803
2021-10-23 12:24:00.918309,-15.75,9.125,13.625,-156,-1039,16910,-4,3,3,27.44,1009.19,143.55522201060293,30.588991872259633,5.192898891242505
2021-10-23 12:24:01.253801,-14.0,9.875,14.875,-166,-1025,16948,10,0,2,27.44,1009.21,141.22419869407167,30.2306248524279,4.722710063319987
2021-10-23 12:24:01.589998,-13.375,10.625,15.375,-144,-1017,16895,2,0,3,27.44,1009.2,138.9104445651794,29.559566845387952,4.452744288135269
2021-10-23 12:24:01.930471,-14.0,9.125,17.75,-178,-1023,16909,0,0,1,27.44,1009.23,137.22233942952826,28.073411215391754,3.7623070994731673
2021-10-23 12:24:02.268298,-17.75,9.75,15.625,-208,-1032,16904,-9,-2,0,27.44,1009.2,133.86260123139286,29.550348330147706,2.2471850781211384
2021-10-23 12:24:02.604443,-19.625,12.375,14.0,-141,-1041,16931,5,1,0,27.44,1009.21,129.2889552317866,31.274300030062037,1.0247652364602728
