Time, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, Temp, Pres, Yaw, Pitch, Roll
2021-10-23 12:04:34.293773,-20.625,7.25,14.5,-148,-989,16951,0,0,-1,27.47,1008.95,177.23530339442442,11.261653185636469,0.9019995062217814
2021-10-23 12:04:34.628063,-17.375,8201.25,7.875,-108,-930,16949,2,-1,0,27.37,1008.95,164.8138723835222,9.128816124412369,0.45213979044993347
2021-10-23 12:04:34.970419,-18.5,11.0,11.0,-176,-982,16929,1,1,1,27.37,1009.0,158.78569943858693,17.833855427459397,0.8626710386676197
2021-10-23 12:04:35.301049,-16.75,8.125,7.75,-158,-1036,16917,-4,0,-1,27.37,1008.97,152.8052885395837,24.97283394964027,0.39160985814799154
2021-10-23 12:04:35.641486,-20.625,7.75,9.875,-117,-1004,16935,-3,0,-1,27.38,1008.97,147.66892984165884,30.708837880097335,-0.7438338041050089
2021-10-23 12:04:35.989085,-14.875,8199.875,8.375,-152,-1013,16919,0,0,0,27.39,1008.98,137.44157960956932,24.45919620721364,-0.8156383167640546
2021-10-23 12:04:36.323819,-21.25,8197.75,12.25,-130,-977,16932,0,0,0,27.39,1008.97,128.47883004300044,19.34153911885088,-1.0247967127482382
2021-10-23 12:04:36.662431,-19.5,11.25,7.875,-136,-982,16922,0,1,3,27.38,1009.0,119.69217859182532,23.52945385280012,-3.126321666263522
2021-10-23 12:04:37.010608,-18.75,8196.5,7.625,-156,-1002,16960,3,0,1,27.37,1008.95,113.60157234166223,18.386142036924536,-2.973366300417072
2021-10-23 12:04:37.350871,-20.625,8199.875,10.0,-121,-1015,16947,0,1,-1,27.37,1008.93,108.6034190122557,14.310088724871383,-2.945272034186906
2021-10-23 12:04:37.692470,-18.875,8.375,11.75,-105,-991,16931,3,0,-1,27.37,1008.96,101.08946179896256,18.38482460920313,-6.043934629998112
2021-10-23 12:04:38.028929,-17.5,10.875,11.125,-133,-955,16927,4,0,0,27.37,1008.96,94.42688243603607,20.21362156040056,-7.534218159089926
2021-10-23 12:04:38.362358,-21.0,8.75,10.625,-157,-971,16940,-1,0,1,27.37,1008.97,87.30757984511088,21.597269397846866,-9.701440298891459
2021-10-23 12:04:38.695987,-20.25,9.25,9.875,-123,-980,16932,-1,0,1,27.37,1008.94,80.83445640517131,21.768276356257992,-11.053052456471512
2021-10-23 12:04:39.029360,-21.125,8.625,8.125,-112,-984,16929,0,1,1,27.37,1008.96,74.03288016447773,21.298867237489514,-12.259211549735689
2021-10-23 12:04:39.369841,-14.75,8200.125,10.625,-246,-1574,16744,-138,-2,32,27.38,1008.96,77.01465931536747,17.435480744819415,-11.014612832480456
2021-10-23 12:04:39.708301,-14.375,16388.625,12.25,-157,-1179,16923,-9,1,0,27.39,1008.96,79.49726592850608,14.19423383788542,-9.538846113805324
